origin_country,total_flights,avg_velocity,on_ground
Algeria,9,236.73000000000002,0
Angola,4,187.5625,0
Argentina,19,128.96894736842106,1
Armenia,1,209.24,0
Australia,99,121.3531313131313,28
Austria,141,141.34742857142857,16
Azerbaijan,4,132.0325,1
Bahamas,1,144.43,0
Bahrain,4,221.73,0
Bangladesh,11,154.7290909090909,0
Belgium,54,133.73,12
Bolivia,2,90.13,1
Brazil,154,159.24194805194804,11
Brunei Darussalam,1,1.03,0
Bulgaria,14,190.10928571428573,2
Cambodia,3,184.62,0
Canada,319,135.30978056426332,68
Chile,29,170.25310344827588,2
China,235,191.4160425531915,19
Colombia,3,205.72,0
Croatia,9,174.18555555555557,1
Cuba,1,5.4,1
Cyprus,1,215.59,0
Czech Republic,46,103.67282608695652,2
Denmark,39,129.12589743589743,2
Dominican Republic,2,247.565,0
Egypt,36,197.9311111111111,1
Estonia,12,166.07583333333335,2
Ethiopia,4,219.0625,0
Finland,26,127.38423076923075,6
France,293,132.5721843003413,27
Georgia,4,44.07,3
Germany,397,133.37831234256927,29
Greece,47,167.00127659574468,3
Guatemala,6,42.57666666666667,2
Hungary,51,180.76470588235293,3
Iceland,18,179.99166666666667,2
India,214,166.33056074766355,20
Indonesia,28,165.00785714285715,1
Iraq,1,196.04,0
Ireland,306,185.1057843137255,15
Israel,25,173.0776,1
Italy,35,86.30142857142857,1
Japan,125,185.53648,14
Jordan,8,181.275,1
Kenya,1,227.87,0
Kingdom of the Netherlands,145,150.99068965517242,13
Kuwait,4,145.2475,0
Kyrgyzstan,1,217.56,0
Latvia,27,160.0737037037037,2
Lebanon,3,239.86666666666667,0
Libyan Arab Jamahiriya,5,213.748,0
Lithuania,20,132.5575,3
Luxembourg,36,184.42166666666668,2
Malaysia,61,181.7583606557377,2
Malta,179,189.60223463687151,14
Mexico,59,165.23610169491525,7
Monaco,1,0.0,1
Morocco,35,214.89114285714285,1
Myanmar,7,177.23714285714283,0
Nepal,4,137.2425,0
New Zealand,11,139.857,3
Norway,67,134.2902985074627,4
Oman,5,210.95999999999998,0
Pakistan,2,14.014999999999999,1
Panama,15,193.74533333333332,2
Paraguay,2,87.73,0
Philippines,27,138.17814814814815,6
Poland,120,142.78433333333334,6
Portugal,84,174.0202380952381,6
Qatar,45,201.10600000000002,4
Republic of Korea,85,197.37823529411767,4
Republic of Moldova,4,173.1975,0
Romania,29,174.0789655172414,0
Russian Federation,63,199.24412698412698,1
Saint Vincent and the Grenadines,1,80.87,0
San Marino,10,167.068,1
Saudi Arabia,20,185.85150000000002,3
Serbia,8,160.32625000000002,1
Seychelles,1,232.97,0
Singapore,45,205.04311111111113,3
Slovakia,8,90.19625,0
Slovenia,7,76.92571428571429,2
South Africa,31,139.34709677419355,1
Spain,181,166.87762430939225,15
Sri Lanka,1,251.24,0
Suriname,1,70.0,0
Sweden,90,141.8552222222222,8
Switzerland,152,108.45328947368422,26
Syrian Arab Republic,2,235.115,0
Taiwan,60,188.38966666666664,5
Thailand,80,191.692125,2
Trinidad and Tobago,1,231.72,0
Tunisia,10,229.20100000000002,0
Turkey,251,213.0523107569721,9
Ukraine,5,135.982,0
United Arab Emirates,75,213.37133333333333,3
United Kingdom,640,136.268140625,41
United States,4829,134.96607046632124,422
Uzbekistan,7,209.8742857142857,0
Venezuela,1,88.5,0
Viet Nam,18,165.3938888888889,0
Zambia,1,181.1,0
