icao24,origin_country,velocity,on_ground
39de4f,France,230.99,False
39de4e,France,236.54,False
e8027c,Chile,235.75,False
ab1644,United States,188.83,False
801638,India,203.73,False
39de4b,France,183.33,False
39de4d,France,234.38,False
a53edd,United States,174.35,False
39de4c,France,155.79,False
39de57,France,138.21,False
801640,India,223.27,False
ab6fdd,United States,217.25,False
8a02ff,Indonesia,137.83,False
39de51,France,44.24,True
39de50,France,237.51,False
39de53,France,237.19,False
a3a560,United States,59.14,False
801649,India,100.22,False
801647,India,134.7,False
4044d1,United Kingdom,61.17,False
acdfa6,United States,9.77,True
801657,India,123.16,False
a3b88e,United States,193.63,False
aae316,United States,188.15,False
ad562b,United States,230.57,False
a1befc,United States,302.15,False
801621,India,124.5,False
a4b228,United States,158.09,False
aaf656,United States,228.18,False
80161c,India,246.95,False
ad5628,United States,251.95,False
801631,India,140.64,False
39de48,France,224.76,False
ad694c,United States,220.45,False
39de49,France,242.49,False
407a06,United Kingdom,229.59,False
801633,India,215.75,False
39de40,France,153.87,False
a34218,United States,84.9,False
a2355d,United States,218.98,False
39de44,France,223.58,False
c047cf,Canada,27.84,False
80166c,India,219.91,False
44028c,Austria,229.96,False
511188,Estonia,214.61,False
4acb01,Sweden,140.67,False
440298,Austria,40.75,False
4acb02,Sweden,237.87,False
488241,Poland,68.01,False
4a32a3,Romania,50.68,False
51116f,Estonia,218.39,False
4bc8c4,Turkey,231.45,False
4bc8c5,Turkey,237.91,False
4bc8c2,Turkey,230.21,False
801681,India,80.25,False
4bc8c3,Turkey,76.86,False
801680,India,220.59,False
44028f,Austria,51.81,False
e8024f,Chile,227.27,False
3dbc00,Germany,92.33,False
80167f,India,232.66,False
abf008,United States,239.61,False
470bfa,Hungary,66.62,False
511172,Estonia,229.63,False
a007c9,United States,64.26,False
a5f808,United States,177.99,False
801699,India,163.35,False
841a6c,Japan,250.87,False
4bc8d5,Turkey,219.37,False
4bc8d6,Turkey,254.33,False
4bc8d3,Turkey,220.49,False
4bc8d4,Turkey,213.53,False
a4d838,United States,191.74,False
a59517,United States,89.09,False
4bc8d2,Turkey,235.89,False
ac234f,United States,123.0,False
a35592,United States,222.66,False
ad5679,United States,182.17,False
80164c,India,200.05,False
478891,Norway,95.28,False
3d7f7a,Germany,105.13,False
471efa,Hungary,216.58,False
471efb,Hungary,104.05,False
47b217,Norway,252.52,False
471efd,Hungary,255.94,False
801662,India,135.38,False
801666,India,203.14,False
51118a,Estonia,232.63,False
44029f,Austria,129.88,False
80165b,India,145.94,False
80165c,India,80.1,False
a3a541,United States,48.73,False
80165a,India,247.15,False
80165e,India,192.0,False
511194,Estonia,225.4,False
801673,India,236.19,False
3ac3ff,France,5.4,False
e8027a,Chile,235.14,False
a2cbdb,United States,208.03,False
ac21e4,United States,235.26,False
3455da,Spain,224.89,False
3d2507,Germany,68.91,False
abad94,United States,275.28,False
a9655c,United States,42.3,False
4acb42,Sweden,67.85,False
4acb44,Sweden,224.87,False
a4b294,United States,195.67,False
a7bbe9,United States,273.66,False
800396,India,117.72,False
440261,Austria,65.85,False
adda23,United States,248.31,False
ac21e2,United States,31.9,False
ac6a65,United States,5.4,True
ada4bc,United States,54.91,False
